M.;BORROTI MATIAS DANTAS;Raphaël;1976-07-10;8 Rue Arago, Villeurbanne;328178508;rborrotimatiasdantas4171@free.fr
Mme;OLMEADA MARAIS;Nor;1983-12-09;5 Rue Léon Fabre, Villeurbanne;418932546;nolmeadamarais1551@gmail.com
Mme;RAYES GEMEZ;Olena;1992-08-28;12 Rue de la Prevoyance, Villeurbanne;532731620;orayesgemez5313@outlook.com
Mme;SING;Ainhoa;1982-11-09;4 Rue Phelypeaux, Villeurbanne;705224200;asing8183@free.fr
M.;ABDIULLINA;David Alexander;1975-01-07;8 Rue Wilhelmine, Villeurbanne;590232772;david-alexander.abdiullina@laposte.net
M.;WOAGNER;Moez;1984-08-16;6 Rue Camille Koechlin, Villeurbanne;832205629;moez.woagner@laposte.net
M.;HONRY;Matteo;1996-02-17;9 Impasse Guillet, Villeurbanne;482381862;matteo.honry@yahoo.com
M.;CECCANI;Kevin;1982-02-16;20 Rue Decomberousse, Villeurbanne;664426037;kevin.ceccani@hotmail.com
Mme;VOYRET;Alice;1988-08-13;1 Rue d'Alsace, Villeurbanne;486856520;alice.voyret@hotmail.com
M.;RINERD;Julien;1989-05-16;4 Rue de la Jeunesse, Villeurbanne;727252485;jrinerd5241@yahoo.com
M.;WOSTPHOL;Olivier;1983-05-24;7 Rue de la Cloche, Villeurbanne;860680312;owostphol@gmail.com
M.;GIYRAUD;Vincent;1994-12-07;4 Rue Marcel Doret, Villeurbanne;518940604;vincent.giyraud@yahoo.com
M.;KLOEN;Benjamin;1997-07-07;16 Rue Jules Kumer, Villeurbanne;220989602;benjamin.kloen@yahoo.com
M.;UNLU;Adrien;1986-04-09;4 Rue du Luxembourg, Villeurbanne;367699654;adrien.unlu@laposte.net
M.;MIE;Romain;1994-11-17;1 Rue Denis Papin, Villeurbanne;307363387;romain.mie@free.fr
Mme;BEUOLLOT;Audrey-Laure;1993-04-10;8 Rue Leo Lagrange, Villeurbanne;202294489;audrey-laure.beuollot@gmail.com
M.;DALMARRE;Jose Luis;1994-05-17;18 Rue Baudelaire, Villeurbanne;549997540;jose-luis.dalmarre@free.fr
M.;BOUTILIB;Stéfan;1987-09-17;6 Rue du Perou, Villeurbanne;552505347;stefan.boutilib@gmail.com
M.;GOGUOLLOT;Rémy;1987-06-03;3 Rue Leo Lagrange, Villeurbanne;477151696;rgoguollot@gmail.com
M.;CRAPAN;Louis;1977-12-16;3 Rue des 2 Frères, Villeurbanne;351726095;lcrapan8910@hotmail.com
M.;LAAZEZ;Julien;1991-03-03;4 Avenue de la Rize, Villeurbanne;789257237;julien.laazez@hotmail.com
M.;BOUOCHRANA;Xavier;1976-01-17;1 Avenue Jean Capelle, Villeurbanne;507002403;xbouochrana@hotmail.com
M.;SIDAR;Criti;1986-05-26;16 Rue du Docteur Rollet, Villeurbanne;942244718;criti.sidar@outlook.com
M.;RALLOND;Antoine;1985-11-18;15 Impasse Comby, Villeurbanne;300853587;antoine.rallond@gmail.com
M.;THEE THIEN NGHIA;Yann;1975-12-16;1 Rue Alexandre Dumas, Villeurbanne;998247431;ytheethiennghia8688@laposte.net
M.;PARTEER;Lucas;1991-06-25;18 Rue du Professeur Calmette, Villeurbanne;338752096;lparteer8884@gmail.com
M.;BIUVAER;Nacer;1987-12-19;16 Allée Henri Georges Clouzot, Villeurbanne;308160740;nacer.biuvaer@yahoo.com
M.;VILLEN;Ali;1992-08-05;10 Rue Eugene Fourniere, Villeurbanne;269635308;ali.villen@hotmail.com
M.;FOULA;Aurélien;1994-09-11;4 Rue Jean Novel, Villeurbanne;640971720;afoula6009@gmail.com
M.;STARRS;Lucas;1979-05-31;5 Impasse Bayet, Villeurbanne;113140081;lstarrs496@laposte.net
M.;EL GHROB;Joris Nicolas;1996-11-03;14 Rue du Luizet, Villeurbanne;187556598;jelghrob4781@free.fr
M.;TRIN;Yoann;1997-10-01;1 Place du Commandant Rivière, Villeurbanne;650322544;yoann.trin@hotmail.com
M.;MEKHTERO;Bogdan Mihai;1992-11-12;9 Rue Burais, Villeurbanne;175787757;bogdan-mihai.mekhtero@laposte.net
